restaurant_id,name,neighborhood,cuisine,secondary_cuisine,rating,price_level,address,closing_time,terrace,starter_1,starter_1_price,starter_2,starter_2_price,main_1,main_1_price,main_2,main_2_price,dessert,dessert_price
18,Anema E Core,Eixample,Italian,,4.8,2,"Carrer del Rossello 213, 08008",12:00 AM,No,Carpaccio di Manzo,15.0,Bruschetta Mista,9.0,Tagliatelle al Tartufo,21.0,Pizza Margherita,14.0,Tiramisu,7.0
19,Ana's Restaurante Italiano,Eixample,Italian,,4.8,2,"Carrer de la Diputacio 269, 08007",11:30 PM,No,Bruschetta Mista,9.0,Burrata con Prosciutto,14.0,Risotto ai Funghi,16.0,Pasta alla Carbonara,15.0,Panna Cotta,7.5
20,Disio Barcelona,Sarria-Sant Gervasi,Italian,,4.9,2,"Carrer de Maria Cubi 96, 08021",4:00 PM,Yes,Burrata con Prosciutto,14.0,Calamari Fritti,12.0,Pizza Margherita,14.0,Tagliatelle al Tartufo,21.0,Tiramisu,7.0
21,Shunka,Ciutat Vella,Japanese,,4.7,3,"Carrer dels Sagristans 5, 08002",11:00 PM,No,Gyoza,12.0,Karaage de Pollo,13.0,King Crab Roll,31.0,Wagyu Nigiri,34.0,Cheesecake de Matcha,9.0
22,Arko Sushi Restaurant,Eixample,Japanese,,4.8,4,"Carrer d'Enric Granados 63, 08008",12:00 AM,No,Karaage de Pollo,16.5,Tataki de Atun,20.0,Ramen Tonkotsu,23.0,Nigiri Selection,34.0,Mochi Helado,11.5
23,IKOYA Izakaya,Ciutat Vella,Japanese,,4.7,4,"Av. de Francesc Cambo 23, 08003",12:00 AM,No,Tataki de Atun,20.0,Edamame,10.0,Wagyu Nigiri,42.0,King Crab Roll,39.0,Cheesecake de Matcha,11.0
24,Robata,Eixample,Japanese,,4.6,3,"Carrer d'Enric Granados 55, 08008",1:00 AM,No,Edamame,8.0,Gyoza,12.0,Nigiri Selection,27.5,Ramen Tonkotsu,19.0,Mochi Helado,9.5
25,Can Kenji,Eixample,Japanese,,4.6,2,"Carrer del Rossello 325, 08037",11:00 PM,No,Gyoza,9.5,Karaage de Pollo,10.5,King Crab Roll,25.0,Wagyu Nigiri,27.0,Cheesecake de Matcha,7.0
26,Nakashita Born,Ciutat Vella,Japanese,,4.8,2,"Carrer de Mendez Nunez 3, 08003",11:00 PM,No,Karaage de Pollo,10.5,Tataki de Atun,13.0,Ramen Tonkotsu,15.0,Nigiri Selection,22.0,Mochi Helado,7.5
27,Monster Sushi,Eixample,Japanese,,4.8,2,"Carrer de Girona 68, 08009",12:00 AM,No,Tataki de Atun,13.0,Edamame,6.5,Wagyu Nigiri,27.0,King Crab Roll,25.0,Cheesecake de Matcha,7.0
28,Kottoya Omakase & Sushi,Ciutat Vella,Japanese,,4.7,3,"Carrer del Veguer 13, 08002",11:00 PM,Yes,Edamame,8.0,Gyoza,12.0,Nigiri Selection,27.5,Ramen Tonkotsu,19.0,Mochi Helado,9.5
29,Carlota Akaneya,Ciutat Vella,Japanese,,4.7,4,"Carrer del Pintor Fortuny 32, 08001",11:00 PM,No,Gyoza,14.5,Karaage de Pollo,16.5,King Crab Roll,39.0,Wagyu Nigiri,42.0,Cheesecake de Matcha,11.0
30,Koy Shunka,Ciutat Vella,Japanese,,4.7,4,"Carrer d'en Copons 7, 08002",9:00 PM,No,Karaage de Pollo,16.5,Tataki de Atun,20.0,Ramen Tonkotsu,23.0,Nigiri Selection,34.0,Mochi Helado,11.5
31,Monte Marinero,Sarria-Sant Gervasi,Seafood,,4.8,3,"Carrer de Balmes 180, 08006",2:30 AM,No,Croquetas de Bacalao,11.0,Almejas a la Marinera,12.5,Marisco Mixto para Dos,42.5,Seleccion de Pescado del Dia,30.0,Flan de Caramelo,7.0
32,Chao Pescao Seafood Born,Ciutat Vella,Seafood,,4.8,3,"Passatge Mercantil 1, 08003",10:30 PM,No,Almejas a la Marinera,12.5,Navajas a la Plancha,15.0,Arroz de Marisco,24.0,Pulpo a la Gallega,22.5,Crema Catalana,7.5
33,La Marea,Sant Marti,Seafood,,4.7,3,"Passeig de Garcia Faria 33, 08005",1:00 AM,Yes,Navajas a la Plancha,15.0,Ostras,15.5,Seleccion de Pescado del Dia,30.0,Marisco Mixto para Dos,42.5,Flan de Caramelo,7.0
34,Colom Restaurant,Ciutat Vella,Seafood,Tapas,4.7,2,"Carrer dels Escudellers 33, 08002",12:00 AM,No,Ostras,12.5,Croquetas de Bacalao,9.0,Pulpo a la Gallega,18.0,Arroz de Marisco,19.0,Crema Catalana,6.0
35,Puertecillo Born,Ciutat Vella,Seafood,,4.5,2,"Carrer Comercial 7, 08003",11:30 PM,No,Croquetas de Bacalao,9.0,Almejas a la Marinera,10.0,Marisco Mixto para Dos,34.0,Seleccion de Pescado del Dia,24.0,Flan de Caramelo,5.5
36,Chao Pescao,Eixample,Seafood,,4.6,3,"Carrer del Consell de Cent 318, 08007",10:30 PM,No,Almejas a la Marinera,12.5,Navajas a la Plancha,15.0,Arroz de Marisco,24.0,Pulpo a la Gallega,22.5,Crema Catalana,7.5
37,Botafumeiro,Gracia,Seafood,,4.4,4,"Carrer Gran de Gracia 81, 08012",1:00 AM,No,Navajas a la Plancha,18.5,Ostras,19.5,Seleccion de Pescado del Dia,37.0,Marisco Mixto para Dos,52.5,Flan de Caramelo,8.5
38,Can Placa,Eixample,Spanish,Seafood,4.7,2,"Rambla de Catalunya 8, 08007",1:00 AM,Yes,Ostras,12.5,Croquetas de Bacalao,9.0,Pulpo a la Gallega,18.0,Arroz de Marisco,19.0,Crema Catalana,6.0
39,Prado de Flores Restaurant,Ciutat Vella,Mediterranean,Seafood,4.8,2,"Carrer de Santa Anna 11, 08002",12:00 AM,No,Croquetas de Bacalao,9.0,Almejas a la Marinera,10.0,Marisco Mixto para Dos,34.0,Seleccion de Pescado del Dia,24.0,Flan de Caramelo,5.5
40,CARMEN Barcelona,Ciutat Vella,Seafood,Market,4.9,2,"La Rambla 91 (La Boqueria), 08002",8:00 PM,No,Almejas a la Marinera,10.0,Navajas a la Plancha,12.0,Arroz de Marisco,19.0,Pulpo a la Gallega,18.0,Crema Catalana,6.0
41,La PerraVerde,Gracia,Vegetarian,Vegan,4.8,2,"Carrer del Torrent de l'Olla 12, 08012",11:30 PM,No,Hummus con Pan Pita,7.0,Falafel de Lentejas,8.5,Coliflor a la Brasa,13.5,Risotto de Setas,15.0,Cheesecake Vegano,6.0
42,Fat Veggies,Eixample,Vegetarian,Vegan,4.6,2,"Carrer de Bailen 81, 08009",11:00 PM,Yes,Falafel de Lentejas,8.5,Ensalada de Burrata Vegana,9.0,Hamburguesa Vegana,13.0,Curry de Boniato,14.0,Brownie Vegano,6.5
43,Mad Mad Vegan Barcelona,Eixample,Vegetarian,Vegan,4.8,2,"Carrer d'Aribau 65, 08008",12:00 AM,No,Ensalada de Burrata Vegana,9.0,Croquetas de Temporada,7.5,Risotto de Setas,15.0,Coliflor a la Brasa,13.5,Cheesecake Vegano,6.0
44,Vegan Tulsi Restaurant,Ciutat Vella,Vegetarian,Vegan,4.7,2,"Carrer dels Angels 8, 08001",11:30 PM,Yes,Croquetas de Temporada,7.5,Hummus con Pan Pita,7.0,Curry de Boniato,14.0,Hamburguesa Vegana,13.0,Brownie Vegano,6.5
45,LOMBARDA,Sant Marti,Vegetarian,Vegan,4.9,2,"Carrer de Pere IV 2-4, 08005",11:30 PM,No,Hummus con Pan Pita,7.0,Falafel de Lentejas,8.5,Coliflor a la Brasa,13.5,Risotto de Setas,15.0,Cheesecake Vegano,6.0
46,Restaurante L'Encant Vegetaria,Eixample,Vegetarian,Vegan,4.9,2,"Carrer de los Castillejos 210, 08013",4:00 PM,No,Falafel de Lentejas,8.5,Ensalada de Burrata Vegana,9.0,Hamburguesa Vegana,13.0,Curry de Boniato,14.0,Brownie Vegano,6.5
47,Vegan Mount Barcelona,Eixample,Vegetarian,Vegan,4.7,2,"Carrer de Valencia 506, 08013",11:00 PM,No,Ensalada de Burrata Vegana,9.0,Croquetas de Temporada,7.5,Risotto de Setas,15.0,Coliflor a la Brasa,13.5,Cheesecake Vegano,6.0
48,VELADA Tapas Plant-Based,Ciutat Vella,Vegetarian,Vegan,4.7,2,"Carrer de Ferran 25, 08002",12:00 AM,No,Croquetas de Temporada,7.5,Hummus con Pan Pita,7.0,Curry de Boniato,14.0,Hamburguesa Vegana,13.0,Brownie Vegano,6.5
49,Mundo Vegan,Eixample,Vegetarian,Vegan,4.8,2,"Carrer de Muntaner 106, 08036",11:00 PM,No,Hummus con Pan Pita,7.0,Falafel de Lentejas,8.5,Coliflor a la Brasa,13.5,Risotto de Setas,15.0,Cheesecake Vegano,6.0
50,Morgentau,Sant Marti,Vegetarian,Vegan Brunch,4.8,2,"Carrer de la Llacuna 114, 08018",4:00 PM,No,Falafel de Lentejas,8.5,Ensalada de Burrata Vegana,9.0,Hamburguesa Vegana,13.0,Curry de Boniato,14.0,Brownie Vegano,6.5
51,Barcelona Steak House,Eixample,Steakhouse,,4.8,2,"Carrer d'Arago 224, 08011",12:00 AM,No,Croquetas de Rabo de Toro,10.0,Empanadas de Carne,9.0,Costillas BBQ,21.0,Solomillo con Salsa Rocafort,26.0,Volcan de Chocolate,7.5
52,Barcelona Grill Steak House,Ciutat Vella,Steakhouse,,4.8,2,"Carrer del Rec Comtal 7, 08003",12:00 AM,No,Empanadas de Carne,9.0,Provoleta,10.0,Entrecot a la Parrilla,22.0,Picana Brasileña,24.0,Cheesecake,7.0
53,Ember Barcelona Steakhouse,Eixample,Steakhouse,,4.8,2,"Carrer del Rossello 239, 08008",12:00 AM,No,Provoleta,10.0,Tartar de Ternera,14.0,Solomillo con Salsa Rocafort,26.0,Costillas BBQ,21.0,Volcan de Chocolate,7.5
54,T-Born Brasa,Ciutat Vella,Steakhouse,,4.9,3,"Carrer del Comerc 24, 08003",2:30 AM,No,Tartar de Ternera,17.5,Croquetas de Rabo de Toro,12.5,Picana Brasileña,30.0,Entrecot a la Parrilla,27.5,Cheesecake,9.0
55,Tzura Steak House,Eixample,Steakhouse,,4.8,2,"Carrer de la Diputacio 280, 08009",12:00 AM (24h Fri),Yes,Croquetas de Rabo de Toro,10.0,Empanadas de Carne,9.0,Costillas BBQ,21.0,Solomillo con Salsa Rocafort,26.0,Volcan de Chocolate,7.5
56,Steak House Barcelona,Eixample,Steakhouse,,4.8,3,"Carrer de Mallorca 266, 08008",12:00 AM,No,Empanadas de Carne,11.0,Provoleta,12.5,Entrecot a la Parrilla,27.5,Picana Brasileña,30.0,Cheesecake,9.0
57,Angus Grill Steakhouse Brasserie,Eixample,Steakhouse,,4.8,2,"Carrer de la Diputacio 26, 08015",12:00 AM,No,Provoleta,10.0,Tartar de Ternera,14.0,Solomillo con Salsa Rocafort,26.0,Costillas BBQ,21.0,Volcan de Chocolate,7.5
58,The Steak House,Eixample,Steakhouse,,4.7,3,"Rambla de Catalunya 27 bis, 08007",12:30 AM,No,Tartar de Ternera,17.5,Croquetas de Rabo de Toro,12.5,Picana Brasileña,30.0,Entrecot a la Parrilla,27.5,Cheesecake,9.0
59,Don Asador,Eixample,Steakhouse,,4.8,2,"Carrer del Comte d'Urgell 111, 08011",12:00 AM,No,Croquetas de Rabo de Toro,10.0,Empanadas de Carne,9.0,Costillas BBQ,21.0,Solomillo con Salsa Rocafort,26.0,Volcan de Chocolate,7.5
60,Limousin Steak House,Eixample,Steakhouse,,4.9,3,"Gran Via de les Corts Catalanes 603, 08007",12:30 AM,No,Empanadas de Carne,11.0,Provoleta,12.5,Entrecot a la Parrilla,27.5,Picana Brasileña,30.0,Cheesecake,9.0
61,ame barcelona,Eixample,Contemporary,Bistro,5.0,4,"Carrer de Londres 91, 08036",12:00 AM,No,Terrina de Campo,15.5,Ensalada de Queso de Cabra,15.5,Bacalao Confitado,29.5,Risotto de Marisco,28.0,Tarta Tatin,11.0
62,Le Bistro Sensi,Ciutat Vella,Tapas,Bistro,4.8,2,"Carrer del Regomir 4, 08002",1:00 AM,No,Ensalada de Queso de Cabra,10.0,Tartar de Salmon,13.0,Entrecot Bearnesa,23.0,Magret de Pato,21.0,Creme Brulee,6.5
63,Le Bistrot de Christobal,Eixample,French,Bistro,4.6,2,"Carrer del Bruc 56, 08009",4:30 PM,No,Tartar de Salmon,13.0,Foie Mi-Cuit,13.0,Risotto de Marisco,18.0,Bacalao Confitado,19.0,Tarta Tatin,7.0
64,Olivia Bistro,Eixample,Mediterranean,Bistro,4.8,2,"Carrer de Viladomat 80, 08015",12:00 AM,No,Foie Mi-Cuit,13.0,Terrina de Campo,10.0,Magret de Pato,21.0,Entrecot Bearnesa,23.0,Creme Brulee,6.5
65,Restaurant La Taverneta Barcelona,Ciutat Vella,French,Mediterranean Bistro,4.5,2,"Carrer de Francesc Pujols 3, 08002",12:00 AM,No,Terrina de Campo,10.0,Ensalada de Queso de Cabra,10.0,Bacalao Confitado,19.0,Risotto de Marisco,18.0,Tarta Tatin,7.0
66,BistroNou,Sant Marti,Tapas,Bistro,4.9,2,"Carrer de Llull 286, 08019",10:30 PM,No,Ensalada de Queso de Cabra,10.0,Tartar de Salmon,13.0,Entrecot Bearnesa,23.0,Magret de Pato,21.0,Creme Brulee,6.5
67,La Dama,Eixample,Fine Dining,Bistro,4.3,3,"Av. Diagonal 423, 08036",2:00 AM,No,Tartar de Salmon,16.0,Foie Mi-Cuit,16.0,Risotto de Marisco,22.5,Bacalao Confitado,24.0,Tarta Tatin,9.0
68,Milk,Ciutat Vella,Bistro,Brunch,4.7,2,"Carrer d'en Gignas 21, 08002",11:30 PM,No,Foie Mi-Cuit,13.0,Terrina de Campo,10.0,Magret de Pato,21.0,Entrecot Bearnesa,23.0,Creme Brulee,6.5
69,El Pachuco,Ciutat Vella,Mexican,,4.5,2,"Carrer de Sant Pau 110, 08001",2:00 AM,No,Nachos Supremos,9.5,Quesadilla de Tinga,8.5,Birria Tacos (3u),13.0,Enchiladas Verdes,13.5,Flan Napolitano,5.5
70,Chilango's Taqueria,Ciutat Vella,Mexican,,4.7,2,"Carrer Nou de la Rambla 95, 08001",1:00 AM,No,Quesadilla de Tinga,8.5,Ceviche de Pescado,11.0,Burrito de Pollo,12.5,Tacos al Pastor (3u),12.0,Churros con Chocolate,6.0
71,La Condesa Mexicano,Eixample,Mexican,,4.8,2,"Carrer de Floridablanca 93, 08015",1:15 AM,No,Ceviche de Pescado,11.0,Guacamole con Totopos,8.0,Enchiladas Verdes,13.5,Birria Tacos (3u),13.0,Flan Napolitano,5.5
72,La Guerita Mexicana,Eixample,Mexican,,4.7,2,"Carrer de Manso 53, 08015",11:00 PM,Yes,Guacamole con Totopos,8.0,Nachos Supremos,9.5,Tacos al Pastor (3u),12.0,Burrito de Pollo,12.5,Churros con Chocolate,6.0
73,Rosa Negra Laietana,Ciutat Vella,Mexican,,4.4,2,"Via Laietana 46, 08003",12:30 AM,No,Nachos Supremos,9.5,Quesadilla de Tinga,8.5,Birria Tacos (3u),13.0,Enchiladas Verdes,13.5,Flan Napolitano,5.5
74,Tlaxcal Cantina y Taqueria,Ciutat Vella,Mexican,,4.5,2,"Carrer del Comerc 27, 08003",12:00 AM,No,Quesadilla de Tinga,8.5,Ceviche de Pescado,11.0,Burrito de Pollo,12.5,Tacos al Pastor (3u),12.0,Churros con Chocolate,6.0
75,Oaxaca Cuina Mexicana,Ciutat Vella,Mexican,,4.4,3,"Pla de Palau 19, 08003",1:00 AM,No,Ceviche de Pescado,14.0,Guacamole con Totopos,10.0,Enchiladas Verdes,17.0,Birria Tacos (3u),16.0,Flan Napolitano,7.0
76,Rosa Negra Raval,Ciutat Vella,Mexican,,4.4,2,"Carrer dels Angels 6, 08001",11:30 PM,No,Guacamole con Totopos,8.0,Nachos Supremos,9.5,Tacos al Pastor (3u),12.0,Burrito de Pollo,12.5,Churros con Chocolate,6.0
77,KILTRO Restobar Gracia,Gracia,Mexican,Peruvian,4.8,2,"C. del Montseny 13, 08012",2:00 AM,No,Nachos Supremos,9.5,Quesadilla de Tinga,8.5,Birria Tacos (3u),13.0,Enchiladas Verdes,13.5,Flan Napolitano,5.5
78,Mi Carnal Taqueria,Eixample,Mexican,,5.0,2,"Carrer d'Arago 131, 08015",11:30 PM,No,Quesadilla de Tinga,8.5,Ceviche de Pescado,11.0,Burrito de Pollo,12.5,Tacos al Pastor (3u),12.0,Churros con Chocolate,6.0
79,Rasa Indian Restaurant,Ciutat Vella,Indian,,4.9,2,"Carrer de Josep Anselm Clave 11, 08002",11:00 PM,No,Aloo Tikki,7.0,Samosas de Verdura (2u),6.5,Biryani de Pollo,14.5,Palak Paneer,12.5,Gulab Jamun,5.0
80,Rasoi Ghar Restaurant Indian,Ciutat Vella,Indian,,4.8,2,"Carrer de la Reina Cristina 10, 08003",11:30 PM,No,Samosas de Verdura (2u),6.5,Pakora de Pollo,8.0,Butter Chicken,14.0,Cordero Rogan Josh,15.5,Kulfi de Pistacho,5.5
81,Desi Galli,Eixample,Indian,,4.8,2,"C. de Villarroel 60, 08011",11:00 PM,No,Pakora de Pollo,8.0,Papadum con Chutneys,5.0,Palak Paneer,12.5,Biryani de Pollo,14.5,Gulab Jamun,5.0
82,Mayura Indian Restaurant,Eixample,Indian,,4.6,2,"Carrer de Girona 57, 08009",11:30 PM,No,Papadum con Chutneys,5.0,Aloo Tikki,7.0,Cordero Rogan Josh,15.5,Butter Chicken,14.0,Kulfi de Pistacho,5.5
83,Chilli Indian Restaurant,Eixample,Indian,,4.7,2,"Carrer de Pau Claris 77, 08010",11:30 PM,No,Aloo Tikki,7.0,Samosas de Verdura (2u),6.5,Biryani de Pollo,14.5,Palak Paneer,12.5,Gulab Jamun,5.0
84,Restaurant Rasoi Barcelona,Eixample,Indian,,4.7,2,"Carrer de Londres 63, 08036",11:30 PM,No,Samosas de Verdura (2u),6.5,Pakora de Pollo,8.0,Butter Chicken,14.0,Cordero Rogan Josh,15.5,Kulfi de Pistacho,5.5
85,Annapurna Barcelona,Gracia,Indian,,4.9,2,"Carrer del Torrent de l'Olla 123, 08012",11:00 PM,No,Pakora de Pollo,8.0,Papadum con Chutneys,5.0,Palak Paneer,12.5,Biryani de Pollo,14.5,Gulab Jamun,5.0
86,Little Andaman,Eixample,Indian,,4.7,2,"Carrer de Muntaner 182, 08036",11:30 PM,No,Papadum con Chutneys,5.0,Aloo Tikki,7.0,Cordero Rogan Josh,15.5,Butter Chicken,14.0,Kulfi de Pistacho,5.5
87,Taste of India BCN,Ciutat Vella,Indian,,4.8,2,"Carrer dels Tallers 8, 08001",12:00 AM,No,Aloo Tikki,7.0,Samosas de Verdura (2u),6.5,Biryani de Pollo,14.5,Palak Paneer,12.5,Gulab Jamun,5.0
88,Swagatam Restaurant,Gracia,Indian,,4.7,2,"Carrer de Sant Agusti 10, 08012",11:00 PM,No,Samosas de Verdura (2u),6.5,Pakora de Pollo,8.0,Butter Chicken,14.0,Cordero Rogan Josh,15.5,Kulfi de Pistacho,5.5
89,Berry Brunch Barcelona,Eixample,Brunch,,4.8,2,"Carrer del Consell de Cent 381, 08009",4:00 PM,No,Granola Casera con Fruta,7.5,Huevos Benedictinos Mini,9.0,Pancakes Americanos,11.0,Shakshuka,12.5,Brownie con Helado,6.5
90,Breakfast Club Brunch Barcelona,Eixample,Brunch,,4.8,2,"Carrer de Viladomat 107, 08015",4:00 PM,No,Huevos Benedictinos Mini,9.0,Sopa de Miso,6.0,Avocado Toast con Huevo,12.0,Eggs Benedict,13.0,Tarta de Queso,6.0
91,Bloome By Sasha,Ciutat Vella,Brunch (Gluten-Free),,4.8,2,"Via Laietana 45, 08003",4:30 PM,Yes,Sopa de Miso,6.0,Tabla de Aguacate,8.0,Shakshuka,12.5,Pancakes Americanos,11.0,Brownie con Helado,6.5
92,The Garden Brunch Cafe,Eixample,Brunch,,4.7,2,"Carrer del Consell de Cent 255, 08011",5:00 PM,No,Tabla de Aguacate,8.0,Granola Casera con Fruta,7.5,Eggs Benedict,13.0,Avocado Toast con Huevo,12.0,Tarta de Queso,6.0
93,Brunch & Cake,Ciutat Vella,Brunch,,4.8,2,"Via Laietana 54, 08003",5:00 PM,No,Granola Casera con Fruta,7.5,Huevos Benedictinos Mini,9.0,Pancakes Americanos,11.0,Shakshuka,12.5,Brownie con Helado,6.5
94,EatMyTrip Brunch & Bakery,Eixample,Brunch,Bakery,4.7,2,"Carrer del Consell de Cent 378, 08009",5:00 PM,Yes,Huevos Benedictinos Mini,9.0,Sopa de Miso,6.0,Avocado Toast con Huevo,12.0,Eggs Benedict,13.0,Tarta de Queso,6.0
95,Faire Brunch & Drinks,Eixample,Brunch,,4.8,2,"Carrer de Girona 81, 08009",4:30 PM,No,Sopa de Miso,6.0,Tabla de Aguacate,8.0,Shakshuka,12.5,Pancakes Americanos,11.0,Brownie con Helado,6.5
96,Billy Brunch Bailen 129,Eixample,Brunch,,4.9,2,"Carrer de Bailen 129, 08009",5:00 PM,Yes,Tabla de Aguacate,8.0,Granola Casera con Fruta,7.5,Eggs Benedict,13.0,Avocado Toast con Huevo,12.0,Tarta de Queso,6.0
97,Billy Brunch Bailen 115,Eixample,Brunch,,4.8,2,"Carrer de Bailen 115, 08009",5:00 PM,No,Granola Casera con Fruta,7.5,Huevos Benedictinos Mini,9.0,Pancakes Americanos,11.0,Shakshuka,12.5,Brownie con Helado,6.5
98,Billy Brunch & Park,Ciutat Vella,Brunch,,4.9,2,"Carrer de Jaume Giralt 53, 08003",5:00 PM,No,Huevos Benedictinos Mini,9.0,Sopa de Miso,6.0,Avocado Toast con Huevo,12.0,Eggs Benedict,13.0,Tarta de Queso,6.0
